Burkholderia anthina	179879	Bacteria	Species
Burkholderia arboris	488730	Bacteria	Species
Burkholderia cenocepacia	95486	Bacteria	Species
Burkholderia cepacia	292	Bacteria	Species
Burkholderia contaminans	488447	Bacteria	Species
Burkholderia diffusa	488732	Bacteria	Species
Burkholderia dolosa	152500	Bacteria	Species
Burkholderia gladioli	28095	Bacteria	Species
Burkholderia glumae	337	Bacteria	Species
Burkholderia lata	482957	Bacteria	Species
Burkholderia latens	488446	Bacteria	Species
Burkholderia mallei	13373	Bacteria	Species
Burkholderia metallica	488729	Bacteria	Species
Burkholderia multivorans	87883	Bacteria	Species
Burkholderia oklahomensis	342113	Bacteria	Species
Burkholderia pseudomallei	28450	Bacteria	Species
Burkholderia pyrrocinia	60550	Bacteria	Species
Burkholderia seminalis	488731	Bacteria	Species
Burkholderia stabilis	95485	Bacteria	Species
Burkholderia stagnalis	1503054	Bacteria	Species
Burkholderia thailandensis	57975	Bacteria	Species
Burkholderia ubonensis	101571	Bacteria	Species
Burkholderia vietnamiensis	60552	Bacteria	Species
Buttiauxella gaviniae	82990	Bacteria	Species
Butyricimonas faecihominis	1472416	Bacteria	Species
Butyricimonas virosa	544645	Bacteria	Species
Campylobacter armoricus	2505970	Bacteria	Species
Campylobacter coli	195	Bacteria	Species
Campylobacter concisus	199	Bacteria	Species
Campylobacter curvus	200	Bacteria	Species
Campylobacter fetus	196	Bacteria	Species
Campylobacter gracilis	824	Bacteria	Species
Campylobacter hominis	76517	Bacteria	Species
Campylobacter hyointestinalis	198	Bacteria	Species
Campylobacter insulaenigrae	260714	Bacteria	Species
Campylobacter jejuni	197	Bacteria	Species
Campylobacter lanienae	75658	Bacteria	Species
Campylobacter lari	201	Bacteria	Species
Campylobacter mucosalis	202	Bacteria	Species
Campylobacter rectus	203	Bacteria	Species
Campylobacter showae	204	Bacteria	Species
Campylobacter sputorum	206	Bacteria	Species
Campylobacter upsaliensis	28080	Bacteria	Species
Campylobacter ureolyticus	827	Bacteria	Species
Campylobacter volucris	1031542	Bacteria	Species
Campylobacter_D coli		Bacteria	Species
Campylobacter_D coli_A		Bacteria	Species
Campylobacter_D coli_B		Bacteria	Species
Campylobacter_D jejuni		Bacteria	Species
Campylobacter_D jejuni_A		Bacteria	Species
Campylobacter_D jejuni_B		Bacteria	Species
Campylobacter_D jejuni_C		Bacteria	Species
Campylobacter_D jejuni_D		Bacteria	Species
Candida albicans	5476	Eukarya	Species
Candida auris	498019	Eukarya	Species
Candida tropicalis	5482	Eukarya	Species
Candidatus Bartonella mayotimonensis	572280	Bacteria	Species
Candidatus Campylobacter infans	2561898	Bacteria	Species
Candidatus Orientia mediorientalis	911112	Bacteria	Species
Canibacter oris	1365628	Bacteria	Species
Capnocytophaga canimorsus	28188	Bacteria	Species
Capnocytophaga cynodegmi	28189	Bacteria	Species
Capnocytophaga gingivalis	1017	Bacteria	Species
Capnocytophaga granulosa	45242	Bacteria	Species
Capnocytophaga haemolytica	45243	Bacteria	Species
Capnocytophaga leadbetteri	327575	Bacteria	Species
Capnocytophaga ochracea	1018	Bacteria	Species
Capnocytophaga sputigena	1019	Bacteria	Species
Cardiobacterium hominis	2718	Bacteria	Species
Cardiobacterium valvarum	194702	Bacteria	Species
Catonella morbi	43997	Bacteria	Species
Cedecea davisae	158484	Bacteria	Species
Cedecea lapagei	158823	Bacteria	Species
Cedecea neteri	158822	Bacteria	Species
Cellulomonas denverensis	264297	Bacteria	Species
Cellulomonas hominis	156981	Bacteria	Species
Cellulosimicrobium cellulans	1710	Bacteria	Species
Cellulosimicrobium funkei	264251	Bacteria	Species
Centipeda periodontii	82203	Bacteria	Species
Chitinophaga terrae	398039	Bacteria	Species
Chitinophaga vietnamensis	2593957	Bacteria	Species
Chlamydia abortus	83555	Bacteria	Species
Chlamydia caviae	83557	Bacteria	Species
Chlamydia felis	83556	Bacteria	Species
Chlamydia pneumoniae	83558	Bacteria	Species
Chlamydia psittaci	83554	Bacteria	Species
Chlamydia trachomatis	813	Bacteria	Species
Christensenella hongkongensis	270498	Bacteria	Species
Chromobacterium haemolyticum	394935	Bacteria	Species
Chromobacterium violaceum	536	Bacteria	Species
Chryseobacterium balustinum	246	Bacteria	Species
Chryseobacterium bernardetii	1241978	Bacteria	Species
Chryseobacterium gleum	250	Bacteria	Species
Chryseobacterium indologenes	253	Bacteria	Species
Chryseobacterium mucoviscidosis	1945581	Bacteria	Species
Chryseobacterium nakagawai	1241982	Bacteria	Species
Chryseobacterium oranimense	421058	Bacteria	Species
Citrobacter amalonaticus	35703	Bacteria	Species
Citrobacter braakii	57706	Bacteria	Species
Citrobacter farmeri	67824	Bacteria	Species
Citrobacter freundii	546	Bacteria	Species
Citrobacter koseri	545	Bacteria	Species
Citrobacter pasteurii	1563222	Bacteria	Species
Citrobacter rodentium	67825	Bacteria	Species
Citrobacter sedlakii	67826	Bacteria	Species
Citrobacter werkmanii	67827	Bacteria	Species
Citrobacter youngae	133448	Bacteria	Species
Cladophialophora carrionii	86049	Eukarya	Species
Cladophialophora psammophila	1182553	Eukarya	Species
